,filename,label
0,cv-valid-train/sample-000005.mp3,adult
1,cv-valid-train/sample-000008.mp3,adult
2,cv-valid-train/sample-000013.mp3,adult
3,cv-valid-train/sample-000014.mp3,adult
4,cv-valid-train/sample-000019.mp3,adult
5,cv-valid-train/sample-000020.mp3,adult
6,cv-valid-train/sample-000023.mp3,adult
7,cv-valid-train/sample-000026.mp3,adult
8,cv-valid-train/sample-000027.mp3,adult
9,cv-valid-train/sample-000029.mp3,adult
10,cv-valid-train/sample-000034.mp3,adult
11,cv-valid-train/sample-000036.mp3,adult
12,cv-valid-train/sample-000039.mp3,child
13,cv-valid-train/sample-000043.mp3,adult
14,cv-valid-train/sample-000044.mp3,adult
15,cv-valid-train/sample-000047.mp3,adult
16,cv-valid-train/sample-000049.mp3,adult
17,cv-valid-train/sample-000050.mp3,adult
18,cv-valid-train/sample-000051.mp3,adult
19,cv-valid-train/sample-000053.mp3,adult
20,cv-valid-train/sample-000054.mp3,adult
21,cv-valid-train/sample-000056.mp3,adult
22,cv-valid-train/sample-000057.mp3,adult
23,cv-valid-train/sample-000059.mp3,adult
24,cv-valid-train/sample-000062.mp3,adult
25,cv-valid-train/sample-000065.mp3,adult
26,cv-valid-train/sample-000068.mp3,adult
27,cv-valid-train/sample-000072.mp3,adult
28,cv-valid-train/sample-000073.mp3,adult
29,cv-valid-train/sample-000077.mp3,adult
30,cv-valid-train/sample-000081.mp3,adult
31,cv-valid-train/sample-000082.mp3,adult
32,cv-valid-train/sample-000088.mp3,child
33,cv-valid-train/sample-000092.mp3,adult
34,cv-valid-train/sample-000097.mp3,adult
35,cv-valid-train/sample-000100.mp3,adult
36,cv-valid-train/sample-000101.mp3,adult
37,cv-valid-train/sample-000105.mp3,adult
38,cv-valid-train/sample-000106.mp3,adult
39,cv-valid-train/sample-000111.mp3,adult
40,cv-valid-train/sample-000115.mp3,adult
41,cv-valid-train/sample-000116.mp3,adult
42,cv-valid-train/sample-000118.mp3,adult
43,cv-valid-train/sample-000121.mp3,adult
44,cv-valid-train/sample-000124.mp3,adult
45,cv-valid-train/sample-000128.mp3,adult
46,cv-valid-train/sample-000132.mp3,adult
47,cv-valid-train/sample-000133.mp3,adult
48,cv-valid-train/sample-000135.mp3,adult
49,cv-valid-train/sample-000137.mp3,adult
50,cv-valid-train/sample-000140.mp3,adult
51,cv-valid-train/sample-000146.mp3,adult
52,cv-valid-train/sample-000154.mp3,adult
53,cv-valid-train/sample-000155.mp3,adult
54,cv-valid-train/sample-000159.mp3,child
55,cv-valid-train/sample-000167.mp3,adult
56,cv-valid-train/sample-000168.mp3,adult
57,cv-valid-train/sample-000169.mp3,adult
58,cv-valid-train/sample-000175.mp3,adult
59,cv-valid-train/sample-000179.mp3,adult
60,cv-valid-train/sample-000180.mp3,adult
61,cv-valid-train/sample-000181.mp3,adult
62,cv-valid-train/sample-000184.mp3,child
63,cv-valid-train/sample-000187.mp3,adult
64,cv-valid-train/sample-000191.mp3,adult
65,cv-valid-train/sample-000192.mp3,adult
66,cv-valid-train/sample-000193.mp3,adult
67,cv-valid-train/sample-000194.mp3,adult
68,cv-valid-train/sample-000195.mp3,adult
69,cv-valid-train/sample-000196.mp3,adult
70,cv-valid-train/sample-000197.mp3,adult
71,cv-valid-train/sample-000201.mp3,adult
72,cv-valid-train/sample-000202.mp3,adult
73,cv-valid-train/sample-000203.mp3,adult
74,cv-valid-train/sample-000204.mp3,adult
75,cv-valid-train/sample-000205.mp3,adult
76,cv-valid-train/sample-000213.mp3,adult
77,cv-valid-train/sample-000214.mp3,adult
78,cv-valid-train/sample-000217.mp3,adult
79,cv-valid-train/sample-000218.mp3,adult
80,cv-valid-train/sample-000219.mp3,adult
81,cv-valid-train/sample-000221.mp3,adult
82,cv-valid-train/sample-000225.mp3,adult
83,cv-valid-train/sample-000229.mp3,child
84,cv-valid-train/sample-000235.mp3,adult
85,cv-valid-train/sample-000236.mp3,adult
86,cv-valid-train/sample-000238.mp3,adult
87,cv-valid-train/sample-000239.mp3,adult
88,cv-valid-train/sample-000242.mp3,adult
89,cv-valid-train/sample-000243.mp3,adult
90,cv-valid-train/sample-000246.mp3,adult
91,cv-valid-train/sample-000247.mp3,adult
92,cv-valid-train/sample-000248.mp3,adult
93,cv-valid-train/sample-000250.mp3,adult
94,cv-valid-train/sample-000254.mp3,adult
95,cv-valid-train/sample-000255.mp3,adult
96,cv-valid-train/sample-000262.mp3,adult
97,cv-valid-train/sample-000265.mp3,adult
98,cv-valid-train/sample-000266.mp3,adult
99,cv-valid-train/sample-000270.mp3,adult
100,cv-valid-train/sample-000273.mp3,adult
101,cv-valid-train/sample-000274.mp3,child
102,cv-valid-train/sample-000277.mp3,adult
